,text
25,Honestly so far so good I got the blue iPhone xr !! I love it. It got here sooner then expected which was a plus !
26,"Everything was great about the phone. It arrived fast, and it works great. I have purchased 2 phones and they did not disappoint."
27,The phone came two days earlier than the expected arrival date so that was a plus.It looks very new and I am pleased with the outer appearance. However the screen quality for the “touch” is on and off. The middle and bottom part of the screen reacts to my finger touching it but I have to tap the screen significantly harder for the top half of it.It comes with the tool to put in your SIM card and a charger.I will be monitoring it for awhile and give an update if needed.But so far 8/10
28,I only had the phone for a day. My only complaint is the battery life. I know it’s used but it feels like the battery dies a little fast.
29,"It’s a great phone for the year, I’ve only had a couple of glitches here and there but nothing major. It’s pretty durable even without the case or screen protector camera quality is great! Love this phone so far. The battery life is okay I received 91 of battery capacity noting major but this phone is a steal for the price!"
30,EL CELULAR LLEGO EN BUEN ESTADO CON UNA BATERIA AL 97 % LLEVO 2 MESES DE USO Y EL CELULAR ME RINDE PERFECTAMENTE TODO EL DIA
31,recibido en muy buen estado. me funciono perfectamente con las telefonias moviles aqui en Panamá. 100% recomendado
32,"Bought this as my daughters first phone so she can easily communicate with us if shes out with friends or even needs to reach us while at school or school events. She's still too young to buy a brand new iphone. Newer Samsung models are much cheaper, but with her knowkedge of how iPads operate and iPhones being more common among younger people, I found my way here to an older renewed iPhone. So far seems to work great. Tiny scratch on the screen but only really noticeable with the screen dark. It's charging at normal speed. Picture is clear and finger movement around its features is smooth. I probably explained that part wrong. All and all I'm happy with my purchase but time will tell. Any issues I'll come back to edit. Hoping i don't need to though."
33,"It was a brand new experience less the original Apple boxes. Like many, should have gotten this much sooner. First time iPhone user and this is just fabulous."
34,I was definitely surprised by quality considering is from Amazon. Great buy for anyone really
35,"Looked pretty new, came nice and clean. However, when I tried using the phone to call, I couldn’t barely hear the other person talking. I searched up a video on YouTube and in conclusion, the ear piece grill part was just filthy. Took a toothbrush and scraped all the shit out, and worked fine.All in all, pretty great phone for the price. So far so good.Battery also came with 100% health, however they don’t really last that long since it’s been updated to iOS 15"
36,Over all a great phone. However when mine came in the battery health was at 81% which for me was pretty low. They do however say it will be from 80-100% so cant complain to much. Still holds a pretty good time in between charges.
37,"I’m always hesitant to order refurbished electronics.  The phone looked like new, has a good warranty, and has worked fine. Best of all , I saved a ton of money!"
38,Brought the phone about a month ago and everything is working lovely. Cosmetic issues are so small they shouldn’t count lbs. Love it
39,I love the screen quality! And switch everything from my old phone to this one was easier than I could have imagined. It was Definitely frustration free. The size isn’t too bad either. I went from a iPhone 7 to this one which is an iPhone RX.I don’t know about the screen protector. Is there suppose to be a half an inch of space all the way around the edge of the phone screen? Idk 🤷🏾‍♀️ I am an otter box lover at heart. So I’m nervous how this phone will hold up in this case.
40,"This phone was in such great condition.  It was an unlocked phone, so had no problems activating on Verizon, just inserted Sim card and went through the set up.  Awesome buy!"
41,"I was a bit nervous getting renewed but I'm on a budget and I had to buy this plus the Apple Watch 6 for health tracking purposes. There is absolutely no scuffs, dings, or scratches. The only way you can tell it is renewed was battery life was about 89% Which isn't horrible. It still lasts me the day and as this isn't brand new, I'm not dinging a star for that. (Plus I believe that is better than advertised)This along with the watch were my first ever Apple products. I previously had a Moto Stylus and a Samsung Galaxy Active 2 Watch. I wanted a watch that would alert me when I had an Afib episode, which the samsung didn't. A lot of afib patients suggest Apple watch for this, which meant I needed an Apple phone.The battery, even new, I don't think would have outperformed my Moto but that's a thing Moto is kinda known for is their big batteries. But as mentioned before, it lasts me all day.I LOVE the blue color. I bought a rugged clear case from local store so that I could protect it while still being able to see the pretty color.Had zero problems putting Mint Mobile on it, so unlocked as promised. Never used an esim before so that was really neat.The apps are amazing and far more varied than Android. That night time wind down is no joke, but I like it. It really is great at making sure I don't pick up my phone and just mess around after bed time and I like that it gives me a little warning so I can go read or do something to wind down for bed.Display is clear and nice.Performance is snappy. A little sad there's not a headphone jack but that's pretty typical these days. Just nice to have something for when your earbuds run out of juice. But it synced upOverall, I know this phone is a bit older in 2022 but I honestly feel like it's almost better than some of the flagship Android phones that are new at a lower price. Overall, I'm really happy. It's really helped become a health tracker as much as a phone. I'm getting why people like Apple now and will probably buy more apple products in the future."
42,Very happy with this purchase. Came in excellent condition and extremely well packaged. Fully satisfied and recommend this vendor.
43,The phone is really fresh n looks brandnew. It works very well and I am pleased. Only issue is battery life but that is all iPhones
44,Loved getting this fantastic phone at a great price after dropping and breaking mine. Arrived quickly and phone is in excellent condition.
45,Phone came looking perfect and working great it was a little laggy but its worth it. Unfortunately it started to glitch BAD after having it for a year or so. I had to get a new phone but overall it worked for the time i needed it to.
46,"Phone is perfect but only flaws I see is a gray rounded line on the corner of the screen not always visible, and the battery health is 81%😞 replacing it soon."
47,At first it had me thinking it wasn’t unlocked because it wouldn’t work with my carrier and it was saying phone isn’t allowed. I did my research and found out it was my carrier that was having the problem and not the phone itself. I absolutely love it 😍 and it came just as described by the seller. I’m am very pleased and would most definitely refer them and buy again if I need to.
48,"The phone arrived quickly and in great condition. I took the SIM card from my old phone and restored the new one from backup. Took a few hours mainly due to the IOS update from Apple prior to restore. By morning it was all done. Screen, camera and buttons all work well. Much better than spending a lot of money for a new phone I really didn’t need."
49,"This iPhone was in amazing condition no scratches on the device whatsoever and it also came with a Glass screen protector as an added on plus! Also provided in the box was a Sim card ejector device, new charger, and wall socket plug. Amazing price and amazing product great seller!"
50,"It is a really good phone camera quality is good and I got in easily. It took 15-20 minutes to get all the updates uploaded,I haven’t seen I thing wrong with it I recommend buying this phone"
51,Si todo funciona bien
52,"I ordered two recommissioned iPhones to use when travelling.  They arrived promptly, beautifully packaged. Exactly as advertised, they even included screen protectors. Thank you"
53,"Everything on the outside seems perfect despite some slight scuffs along the edges of the phone that a phone case easily covers and micro scratches on the screen that you don’t see unless the screens off and you hold it up at different angles.My main concern has to do with the battery Amazon had installed into the phone, as soon as I set my phone up, I got an alert claiming the batter may be in-authentic and in-turn, will affect my phones full capabilities.The only reason I’m being generous on my rating is because I think the issue has more to do with Amazon than the seller.Amazon is sending me a new phone and I’ll be updating my review as soon as I get the new one in the mail about 12-15 days .Update:The only good news  I have to report is that the phone arrived sooner than the 12-15 days they said it would take…The bad news is, the replacement I received was in worse condition than first… The second phone arrived to me and the first thing I noticed was the front speaker and filthy it was. There was so much dirt and crud caked into it, that it was stark white .. I could just tell by looking at it, that it was going to effect the sound quality which it definitely did (I even tried cleaning it but it was cemented in there). I started  to wonder if they even inspected the phone at all because they claim to clean their phone’s  thoroughly so if they didn’t even notice that, and then I went to turn the phone on, the battery was already completely dead which is already a bad sign because you’re expecting a “renewed” phone to have all new parts meaning it should have been almost fully charged … so if the replacement phones battery was completely drained, how would they have looked at it to even inspect it unless something was wrong with the battery that caused the phone to drain while it was shut off but then that circles back to the inspectors again and them not properly doing their job. if the battery was faulty, they should have caught it and fixed the issue before sending it out…once the phone got a charge, I did notice that  I wasn’t getting any alerts about the battery being in-authentic like the first phone did so I believe the 2nd phone still has all its original parts but then it shouldn’t be considered renewed…  the phone also took a really long time to charge and as I mentioned, the sound quality was horrid.I just hate this cat and mouse game of having to send phones back and forth and having to reset them and transfer all my date over and over again so I just decided to suck it up and keep the first iPhone I got and pray it works out because I’ve read stories of Apple locking users out of their phones if it’s believed their phones have in-authentic parts including batteries. I’ll try to remember to give anyone who wants to know, an update in a month or so."
54,Bought this for my daughter she loves it!!
55,I bought a IPhone XR product red it was good got me a simple mobile plan which was 25$ but 1 side of the speaker work but the other 1 does not and it came which a screen protector but it breaks Pieces day by day the battery capacity is 82% although I bought excellent condition I’m am disappointed but other than that it amazing ❤️ I would recommend it
56,no scratches on screen. battery life as stated in description. Great value for the money.
57,Regalo para mi hijo adolescente...
58,This phone is the Premium selection under warranty for a year.  Looks new.  No scratches.  When I first received it I thought the screen was scratched up but it was the plastic covering.
59,Físicamente tiene rayones en la conexión
60,"Came earlier than expected, ordered on Monday and arrived at my home on Tuesday, a day early. Great new condition, no scratches or issues cosmetically. Popped my SIM card in and works like a charm."
61,"Just received iPhone XR. Looks in new condition. Won’t be using face recognition, won’t know about battery life until I’ve had it awhile. Won’t know if all feature’s are working until I try them."
62,I love my new iPhone never had one thank you
63,i was alittle hesitant at first but i’ve had it over a month and it’s perfect.
64,Phone came in like new condition. Works great as well! Excellent battery life and super fast.
65,Like a brand new phone. Highly recommend this seller
66,Funcional al 💯
67,Quality is amazing. If they didn’t tell me it was refurbished I would have never knew. If I could give it 6 stars I would.
68,I realize this phone is like 4y old but it’s still super responsive. The facial recognition is amazing. It came unlocked as promised. Totally happy.
69,"Wonderful phone, it came with a little tool to help me get the SD card out of one phone and put it in the other. Easy to set-up and great price."
70,Replacing an IPhone 7
71,"Buen producto buen precio, sin duda volveré a comprar"
72,Very good product
73,This phone as described. Like new condition. My son and I were both very pleased.
74,the seller is very fast and the phone is in excellent condition I love it
75,"Her last picture, before she left us."
76,"This phone is brand new in top tier condition. The phone works perfectly, while I do love the black sleekness it is very thin on the black due to the glass but that’s apples make so just get a great case and you’ll be fine."
77,"I had no problem with my phone , battery life is good n so is everything else. Even got it early in the mail."
78,I liked the phone in general
79,It came in like 2 days has a couple bumps and scratches but I don’t mind but it didn’t come with a SIM card holder so I need to buy/find one which is very inconvenient
80,We bought this for our daughter and so far it has been a great phone. Happy with our purchase!!
81,More than what I expected in a refurbished phone! It looked brand new when I got it and I haven't had one problem with it. Very pleased!
82,"I love this phone. I've had it for about 3 months now. Battery life came at 80%, so not the best but not the worst. Everything else was perfect.  Just get it"
83,I order by mistake. Because the same day I bought more stuff to Amason the phone SR went to my card by mistake.
84,"Replaced my husbands,  soon to be obsoleteiPhone 6S with iPhone XR. So far it is working great and easy to use. Face recognition feature is awesome"
85,It pretty much felt like I got a new iPhone. There were a few very small minor scratches on the screen but they weren’t very noticeable. Functions fine and didn’t see any problems with it.
86,took about a week to get but my verizon sim card worked fine all functions are as advertised and condition was better than expected
87,This was a great gift for my daughter who uses it now. It has a warless charge and there are still cases out for this product. It has effective facial recognition unless there is any added objects to the facial area. It even recognizes the face when it is dark by using the light from the phone. If it fails it automatically transfers to the pin screen. It does not have finger print recognition. The hotspot connections is very strong and as long as there wifi access there is hotspot access to a similar degree.
88,"The battery dies way to fast, and it is at 98% battery life"
89,Good phone all n all
90,"This is my first phone purchase in almost a decade. I am going from an iPhone 5s to an iPhone XR.I asked someone for advice for where to purchase my next iPhone. I have a lack of trust when it comes to purchasing phones on the internet after hearing about so many stories of people being scammed. I was told by a couple of people that amazon has registered users so I gave it a try.So far I am happy with my purchase. The iPhone is in like new condition with no major scratches. However, there are two little scratch indentations on the front screen. They are hardly noticeable because they are to the side of the front just off the LCD screen and screen protector and do not interfere with the use of the phone.When it comes to the actual phone itself, the big screen, sound quality, and fast processor are something to smile about. Apple outdid themselves with this phone. The only thing that will take some getting use to is the big slim design. I find it hard to reach some parts of the screen while holding the phone in one hand. I think there is an adjustment period. The phone was incredibly easy to set-up. I just had to back my old iPhone up to iTunes and then restore that backup on the XR.I do not like how there is no headphone jack and that the phone only has 64g storage but this can be overlooked. (I know that I also have the option of purchasing a different model that has better storage and a headphone jack I just thought it is worth mentioning for anyone considering to buy this item.)Pros-Great price. Fast shipping time. Sold from someone trustworthy. Honest listing and as described. Came with screen protector and SIM removal tool. The phone indicates that the battery life is at 95%.As a phone, great quality overall. The LCD screen is big and bright. The sound is fantastic. The processor is super fast (I think one of the fastest processors you can purchase in a smartphone).Cons-The phone came with a knockoff charger not an OEM (original) Apple charger or headphones. Yes, using an Apple charger versus using a knock off makes a difference, look into it if you do not believe me. Fortunately I have my old Apple chargers. The screen has a couple miner indented scratches. My finger covers the mic at the bottom of the phone sometimes when I record videos. The audio gets blocked or becomes scratchy.I made this review as detailed as possible because I greatly benefited from other reviews made by other people that purchased this phone.One major takeaway from all of the comments on this listing is to be careful that you may or may not get a phone that has some sort of issue. I think this comes with the territory when it comes to purchasing a renewed phone. When you are spending a lot of money on a phone you expect quality and consistency. For a couple of hundred dollars more I could have bought straight from Apple, but I am happy I got to save that money."
91,Came like brand new ! & unlocked ! You will not be disappointed!!! Highly recommend!!
92,over all is excellent
93,"It’s great, really, but I got it with the battery running at 86% capacity. I’d return it to get it fixed but I need it pretty badly. I’d recommend checking for that part first before anything else."
94,"The phone is In perfect condition, no scratches or cracks any wear. I’ve had no problems with this phone so far. Definitely would recommend!"
95,"Phone was delivered a day early, in great condition, just like new. Works great so far! Definitely worth the price!"
96,"Everything works perfect. Looks really good, only couple scratches. Totally worth the money!"
97,N/a
98,I love this phone it looks freakin brand new! Trust me! If you having second thoughts with this company DONT! the phones came super fast and it wants damage and it was super easy to setup
99,"Me agrado, pero no pude utilizarlo"
100,Phone looked and worked like it was from the iPhone store
101,Bought for my daughters birthday and she is very happy with it. Works great and looks great.
102,"The phone was over all great, only one scratch on the side but other than that it was fine, came with a charger (not a speed one) and it has an 89% battery compacity. Would definitely recommend buying"
103,I would like to give more attention for package (like back cover and screen protector)
104,i like the phone
105,"I had used an iphone 7 for years.  Upgrading was a steep learning curve for an old person,, but, I'm muddling through just fine."
106,Bought this for my daughter to use for back to school and to replace the old iPhone 8 Plus she had. Came in better shape than expected. Excellent condition cosmetic and internal. Battery life over 85%. My daughter is so in love with this phone. Thanks for the exact description and great quality. Will definitely be purchasing from this seller again.
107,"When I received a reconditioned iPhone XR I purchased last week, upon turning it on, I saw a small number of apps on the screen, which should not have been the case. I then found it still had the previous owner's iCloud ID assigned to it. I don't know if it was a return and the person had neglected to sign out their ID, or what, and it somehow got placed back in stock without proper examination. In any case, because it still had that other person's iCloud ID assigned to it, I was locked out of doing anything with it, so, exasperated, I returned it with an explanation of the problem.With much hesitation (because of many complaints by other reviewers as well as my own experience), I subsequently placed an order for another reconditioned iPhone XR. When I received it and turned it on, with much relief I saw the multi-language ""HELLO"" screen, meaning, at least, I should be able to proceed with entering in my own iCloud ID. The iPhone didn't have a scratch on it and it looked brand new (for that matter, the first XR I received also looked brand new). In fact, when I checked the battery efficiency state in the one I just received, it indicated 100%, indicating its newness.I have a flip phone that has a very inexpensive yearly rate that I use for the rare times I need a cell phone, so I didn't want to buy a smart phone just for cellular calling. I bought this iPhone XR, not to use as a phone, but to use as an intermediate tablet between my iPad Mini and my iPod touch. The iPad Mini is too big to fit even in my cargo pants pockets, and my iPod Touch screen is too small to do anything serious with it when I'm away from home. This iPhone XR is great for that purpose because it fits in my pocket and it is a usable size.  I also like some of the other features, such as the touch features, and even the lack of the home button. I am quite happy with it. I have a WiFi hotspot to use with it, so I can do just about everything I could with a cell-connected smart phone.I thought of giving a three star overall rating because of the experience I had with the previous iPhone XR, but I like this one so much I am giving it five stars."
108,Just as described. Love it! Came fast
109,It was awesome just a few paint scratches I noticed and that was it
110,"No scratches, case or screen. Battery health at almost 100%. Outstanding delivery with secure packaging."
111,iPhone.  XR. Batterie.  Last as long. Time
112,"So when I got the phone and opened up the very plain white box, Inside was the phone (wrapped up very nicely) and it also came with a charger brick and a charger, which is very nice! I was afraid to turn it on after reading some reviews and after I booted it up and set up my apple ID I am very pleased with my purchase so far! Haven't put my sim card in yet so we'll see how that works and I'll update everyone once I use it for a bit!"
113,"The battery dies pretty quickly, I don't use a phone as much as most people. My android before would last about two days this one lasts maybe 6-7 hours.I bought the phone along with an otter box and screen protectors and after the second day there is a crack right across the middle, Not sure if its the phone screen or screen protector yet but I have been very gentle with it, hasn't been dropped or slammed once but it clearly didn't matter.Other than that it's what you would expect from an iphone"
114,I’ve had the phone for a few months and haven’t had any issues
115,My techy 18 year old loves it!
116,N/a
117,This iPhone XR is exceptional. Looks practically brand new. No scratches on screen or body. Hard to tell that it was refurbished. Battery life has also been outstanding. Wouldn’t hesitate to purchase another one in the future.
118,Battery came at 94% usage felt new. No damage at all. works just like a brand new phone. The only ting missing is the unboxing experience. it came bubble wrapped but that doesn't really matter.
119,The phone was practically new. It was worth every penny. I will probably definitely order again from this company.
